Treatment;Replicate;Size;Concentration;MPs;ELF;EVN;GTL;LAD;LGS
CG;CG1;Control;Control;Absence;2.79659443649648;8.2519537364569;2.55962076880967;8.48053305116336;7.89233164767777
CG;CG2;Control;Control;Absence;NA;9.10555405039377;1.8689407663683;13.0344751150303;8.62999818767205
CG;CG3;Control;Control;Absence;7.91962378142164;6.68805628152756;0.918834206074389;NA;3.53493516544806
CG;CG4;Control;Control;Absence;NA;5.1223771677051;0.786981589832373;NA;NA
CG;CG5;Control;Control;Absence;2.79912433265471;5.57915293508595;1.08755813188356;8.10690980292503;6.40388000409144
GEL;GEL1;Large;Extreme;Presence;0;5.8270698826875;0.855300592625155;9.9371109863894;6.06011171396322
GEL;GEL2;Large;Extreme;Presence;9.21239618821713;NA;NA;NA;NA
GEL;GEL3;Large;Extreme;Presence;3.60342432421318;NA;NA;NA;NA
GEL;GEL4;Large;Extreme;Presence;NA;NA;1.05921225590886;7.40160847847315;NA
GEL;GEL5;Large;Extreme;Presence;6.16434936068919;6.54659611488758;1.78099535796791;7.39240329845615;7.1798026462585
GES;GES1;Small;Extreme;Presence;NA;NA;NA;NA;NA
GES;GES2;Small;Extreme;Presence;NA;4.87515973052783;1.5679096248432;7.23337135317859;4.44641533806049
GES;GES3;Small;Extreme;Presence;1.88060409113297;NA;NA;NA;NA
GES;GES4;Small;Extreme;Presence;NA;NA;1.06924903918406;NA;NA
GES;GES5;Small;Extreme;Presence;4.4782657485916;NA;NA;11.5480097855276;NA
GLL;GLL1;Large;Low;Presence;4.76925962474504;6.38495120205407;0.900989573348407;4.54111389655352;NA
GLL;GLL2;Large;Low;Presence;5.26302868297018;NA;0.895243219610061;NA;NA
GLL;GLL3;Large;Low;Presence;3.58909690548302;5.91093788418989;0.972886083050615;NA;NA
GLL;GLL4;Large;Low;Presence;3.38950944460295;11.0065487884994;1.62580374209331;14.5111259958628;8.57476166411961
GLL;GLL5;Large;Low;Presence;NA;9.19080956699746;NA;NA;NA
GLS;GLS1;Small;Low;Presence;NA;7.73189820010382;1.50572547511132;14.6943319482581;5.91735575923569
GLS;GLS2;Small;Low;Presence;NA;6.10770581369397;0.926205181538584;6.64752367618658;NA
GLS;GLS3;Small;Low;Presence;5.20794721292637;6.96914493804416;1.01226287708074;NA;NA
GLS;GLS4;Small;Low;Presence;NA;6.8496037859394;NA;5.74188261970957;NA
GLS;GLS5;Small;Low;Presence;4.65650025381704;8.1581788003856;1.47229401062888;8.74965317800636;6.37807841915842
GHL;GHL1;Large;High;Presence;NA;6.15014122202427;NA;NA;NA
GHL;GHL2;Large;High;Presence;5.03828152720646;6.39953031597461;2.3687181196715;7.76273527791078;6.20536560052331
GHL;GHL3;Large;High;Presence;NA;NA;1.09550074212994;NA;4.3191514165004
GHL;GHL4;Large;High;Presence;3.5122889433331;6.64289568293239;1.25192952456906;14.7521749088425;7.51286304052959
GHL;GHL5;Large;High;Presence;NA;7.60729246304129;1.12462256715035;8.20487310402587;5.25260980002725
GHS;GHS1;Small;High;Presence;NA;5.71549517067617;0.923393554914632;NA;NA
GHS;GHS2;Small;High;Presence;NA;5.07260785079783;0.931784727293277;5.97133033528539;NA
GHS;GHS3;Small;High;Presence;7.20764590643854;NA;NA;NA;NA
GHS;GHS4;Small;High;Presence;4.15948502632338;NA;1.41642575512857;NA;NA
GHS;GHS5;Small;High;Presence;3.44630711715328;11.6289618684842;2.32631630896199;NA;5.90458362513576
